// single phase coef Number:=24,    upsample factor:=320,     downsample factor:=147
24,320,147,0,
   16, -251,  -94,  133, -233,  375, -567,  828,-1205, 1845,-3453,32431, 3629,-1474,  809, -499,  332, -237,  181, -148,  119, -339,    2,    2,
   16, -250,  -97,  136, -238,  382, -578,  844,-1228, 1883,-3527,32392, 3751,-1526,  840, -519,  346, -246,  188, -152,  122, -340,    2,    2,
   16, -248, -100,  140, -243,  389, -588,  859,-1252, 1921,-3600,32352, 3874,-1578,  871, -539,  359, -256,  194, -156,  125, -341,    2,    2,
   16, -247, -103,  143, -248,  396, -599,  874,-1275, 1958,-3673,32310, 3998,-1631,  902, -560,  373, -265,  200, -160,  128, -342,    1,    2,
   16, -246, -105,  147, -253,  403, -609,  890,-1298, 1995,-3744,32268, 4121,-1683,  933, -580,  387, -274,  206, -165,  131, -343,    1,    2,
   17, -244, -108,  150, -258,  410, -619,  905,-1321, 2032,-3815,32225, 4246,-1735,  964, -600,  400, -284,  213, -169,  134, -343,    1,    2,
   17, -243, -111,  153, -263,  417, -629,  920,-1344, 2069,-3885,32181, 4371,-1787,  995, -620,  414, -293,  219, -173,  136, -344,    0,    2,
   17, -241, -114,  157, -267,  424, -639,  935,-1366, 2105,-3955,32135, 4496,-1839, 1026, -641,  428, -302,  225, -177,  139, -345,    0,    2,
   17, -240, -117,  160, -272,  431, -649,  949,-1388, 2141,-4023,32089, 4622,-1892, 1057, -661,  442, -312,  231, -181,  142, -346,    0,    2,
   17, -239, -120,  163, -277,  438, -659,  964,-1410, 2176,-4091,32042, 4748,-1944, 1088, -681,  455, -321,  237, -185,  145, -347,   -1,    3,
   17, -237, -123,  167, -281,  445, -669,  979,-1432, 2212,-4157,31993, 4875,-1996, 1119, -701,  469, -330,  244, -189,  148, -348,   -1,    3,
   17, -236, -125,  170, -286,  451, -679,  993,-1454, 2246,-4224,31944, 5002,-2049, 1149, -721,  483, -339,  250, -193,  151, -349,   -2,    3,
   17, -234, -128,  173, -291,  458, -689, 1007,-1475, 2281,-4289,31893, 5130,-2101, 1180, -742,  496, -349,  256, -197,  153, -350,   -2,    3,
   17, -233, -131,  176, -295,  465, -698, 1021,-1497, 2315,-4353,31842, 5258,-2153, 1211, -762,  510, -358,  262, -201,  156, -350,   -2,    3,
   17, -231, -134,  179, -300,  471, -708, 1035,-1518, 2349,-4417,31789, 5387,-2205, 1242, -782,  523, -367,  268, -205,  159, -351,   -3,    3,
   17, -230, -136,  183, -304,  478, -717, 1049,-1539, 2382,-4480,31736, 5516,-2258, 1272, -802,  537, -376,  275, -209,  162, -352,   -3,    3,
   17, -229, -139,  186, -309,  484, -726, 1063,-1559, 2416,-4542,31681, 5646,-2310, 1303, -822,  551, -386,  281, -213,  165, -353,   -4,    3,
   17, -227, -142,  189, -313,  490, -736, 1076,-1580, 2448,-4603,31626, 5775,-2362, 1334, -842,  564, -395,  287, -217,  167, -354,   -4,    3,
   17, -226, -145,  192, -317,  497, -745, 1090,-1600, 2481,-4664,31569, 5906,-2414, 1364, -862,  578, -404,  293, -221,  170, -354,   -5,    3,
   17, -224, -147,  195, -322,  503, -754, 1103,-1620, 2513,-4723,31512, 6037,-2466, 1395, -882,  591, -413,  299, -225,  173, -355,   -5,    3,
   17, -223, -150,  198, -326,  509, -763, 1116,-1640, 2545,-4782,31453, 6168,-2518, 1425, -902,  605, -422,  305, -229,  176, -356,   -6,    3,
   17, -221, -153,  201, -330,  515, -771, 1129,-1659, 2576,-4840,31393, 6299,-2570, 1456, -922,  618, -431,  311, -233,  178, -357,   -6,    3,
   17, -220, -156,  204, -334,  521, -780, 1142,-1679, 2607,-4898,31333, 6431,-2622, 1486, -942,  632, -440,  317, -237,  181, -357,   -6,    3,
   17, -219, -158,  207, -338,  527, -789, 1155,-1698, 2638,-4954,31271, 6564,-2674, 1516, -962,  645, -449,  323, -241,  184, -358,   -7,    3,
   17, -217, -161,  210, -342,  533, -797, 1167,-1717, 2668,-5010,31209, 6696,-2726, 1547, -981,  658, -459,  329, -245,  186, -359,   -7,    3,
   17, -216, -164,  213, -347,  539, -806, 1179,-1736, 2698,-5065,31145, 6830,-2778, 1577,-1001,  672, -468,  335, -249,  189, -360,   -8,    3,
   17, -214, -166,  216, -351,  544, -814, 1192,-1754, 2727,-5119,31081, 6963,-2829, 1607,-1021,  685, -477,  341, -253,  192, -360,   -8,    3,
   17, -213, -169,  218, -354,  550, -822, 1204,-1772, 2756,-5172,31015, 7097,-2881, 1637,-1040,  698, -486,  347, -257,  194, -361,   -9,    3,
   17, -211, -171,  221, -358,  556, -830, 1216,-1791, 2785,-5224,30949, 7231,-2932, 1667,-1060,  711, -494,  353, -261,  197, -362,   -9,    3,
   17, -210, -174,  224, -362,  561, -838, 1228,-1808, 2814,-5276,30881, 7366,-2984, 1697,-1079,  725, -503,  359, -265,  199, -362,  -10,    4,
   17, -209, -177,  227, -366,  567, -846, 1239,-1826, 2842,-5327,30813, 7501,-3035, 1727,-1099,  738, -512,  365, -269,  202, -363,  -10,    4,
   17, -207, -179,  230, -370,  572, -854, 1251,-1843, 2869,-5377,30744, 7636,-3086, 1756,-1118,  751, -521,  371, -273,  205, -363,  -11,    4,
   17, -206, -182,  232, -374,  577, -862, 1262,-1860, 2897,-5426,30673, 7772,-3137, 1786,-1137,  764, -530,  377, -276,  207, -364,  -11,    4,
   17, -204, -184,  235, -377,  583, -870, 1273,-1877, 2924,-5475,30602, 7908,-3188, 1816,-1157,  777, -539,  383, -280,  210, -365,  -12,    4,
